SKIP
3,/then/single/heart.jpg
4,/future/maintain/situation.jpg
15,/probably/set/while.jpg
18,/difficult/social/teach.jpg
19,/itself/second/issue.jpg
22,/production/entire/yes.jpg
23,/moment/different/program.jpg
25,/develop/middle/receive.jpg
26,/put/base/place.jpg
30,/wait/guess/expert.jpg
33,/behind/wrong/director.jpg
34,/data/central/happy.jpg
35,/daughter/staff/entire.jpg
38,/school/the/player.jpg
39,/office/eight/discussion.jpg
40,/culture/give/will.jpg
42,/safe/mouth/population.jpg
44,/cause/suggest/really.jpg
45,/indicate/start/establish.jpg
46,/call/team/deal.jpg
48,/director/red/her.jpg
50,/gas/everything/charge.jpg
